paper_id,arxiv_id,n_bottlenecks,n_weakness_claims,atlas_bottlenecks_top3,aigraph_weakness_top3,judge_label,judge_rationale
arxiv:2306.05715,2306.05715,24,3,"  - (from 2309.00029, rel=compares): No specific bottleneck is identified; the reference is cited as a concurrent study appearing during the research period, indicating similar research directions.
  - (from 2308.06921, rel=compares): LLMs tend to act as 'unreliable tutors' that directly reveal solutions even when instructed not to, leading to student over-reliance.
  - (from 2310.16984, rel=compares): AI models (Codex, GPT-3.5) struggle to accurately identify all issues in student help requests and produce common false positives.","  - [limitation / negative] GPT-3.5 did not consistently find all issues, doing so 57% of the time.
  - [limitation / negative] False positives were common for GPT-3.5, with a 40% chance.
  - [limitation / negative] The analysis did not account for whether help request responses addressed a specific issue type.",complementary,"Both sets overlap on GPT-3.5 missing issues and producing false positives, but A also adds a distinct concern about LLMs revealing solutions and fostering over-reliance while B adds a separate methodological limitation about not tracking issue-type-specific responses."
arxiv:2410.04587v2,2410.04587,14,1,"  - (from 2409.03797, rel=compares): Standard direct prompting methods often fail to leverage smaller models effectively for complex nested tasks, whereas specialized approaches like Hammer can outperform larger models.
  - (from 2502.08820, rel=uses_component): Existing function calling models may overfit to specific function/parameter names rather than reasoning about API functionality based on descriptions.
  - (from 2504.13958, rel=uses_component): No bottleneck in Hammer is discussed; it is used as a data source to improve generalization.","  - [limitation / mixed] xLAM-7B-fc shows inconsistent benchmark performance, achieving the best results on most benchmarks but dropping on two others and ending with the lowest overall average.",complementary,"Observation A highlights task/method weaknesses around direct prompting and function-calling generalization, while Observation B reports inconsistent benchmark performance of xLAM-7B-fc, so they point to different but compatible shortcomings rather than the same issue or a conflict."
arxiv:2409.12568,2409.12568,11,1,"  - (from 2501.04686, rel=compares): Paper A notes that while models like InfiMM-Math focus on STEM reasoning data synthesis, they may still be limited by the lack of effective process supervision in online RL, which URSA addresses.
  - (from 2412.11936, rel=uses_component): Existing methods may lack the scale and diversity of multimodal interleaved data required for exceptional performance in mathematical reasoning.
  - (from 2502.11573, rel=uses_component): Small models need high-quality, reasoning-oriented text data, specifically mathematics-related content, to develop strong logical reasoning and deduction capabilities.",  - [setting_effect / negative] Using an exact matching technique for URL deduplication reduces sample volume from 5.4 billion to 3.9 billion.,unrelated,"Observation A discusses limitations around process supervision and the scale/quality/diversity of math-oriented multimodal data for reasoning, whereas Observation B only notes a dataset-size reduction from exact URL deduplication, with no substantive overlap in weakness."
arxiv:2307.03109,2307.03109,23,1,"  - (from 2309.03554, rel=compares): The field of automated testing for AI systems is growing rapidly, but there is a need to categorize and understand the diverse focuses of existing research.
  - (from 2310.11593, rel=compares): General surveys and existing LLM evaluation techniques do not specifically address the unique challenges of evaluating personalized text generation, such as distinguishing personalization from generic quality.
  - (from 2311.02049, rel=compares): The paper argues that current evaluation methodologies are inconsistent and contradictory, and that existing surveys do not fully address the need for a unified taxonomy or the specific weaknesses of available methods.",  - [limitation / mixed] GPT-4 and BingChat answer more than 80% of questions correctly but still remain over 15% short of complete accuracy.,unrelated,"Observation A discusses gaps in evaluation taxonomies and methods for AI testing and personalized text generation, whereas Observation B reports residual inaccuracy of GPT-4/BingChat on a question-answering benchmark, so they concern different weaknesses with no substantive overlap."
arxiv:2504.16074v2,2504.16074,1,1,"  - (from 2505.15472, rel=compares): PHYBench focuses on text-only settings or lacks the multimodal variable and process evaluation dimensions that PHYSICSARENA provides.","  - [comparison / negative] PHYBench is more challenging than prior benchmarks, with 25.0 accuracy versus higher accuracies on MATH-500, GPQA, OlympiadBench, and AIME 2024.",unrelated,"A critiques PHYBench for lacking multimodal and process-evaluation dimensions relative to PHYSICSARENA, while B discusses PHYBench’s higher difficulty compared with other benchmarks, so they concern different aspects without overlap or conflict."
arxiv:2309.17277,2309.17277,11,2,"  - (from 2402.11291, rel=compares): LLMs struggle with strategic decision-making in games involving hidden information and opponent modeling, often failing to reach optimal play strategies.
  - (from 2404.01230, rel=improves): LLMs lack the ability to effectively anticipate and strategize based on the mental states of others in imperfect information games like Poker.
  - (from 2405.03341, rel=compares): LLM/VLM agents, including Suspicion-Agent, suffer from slow inference speeds and hallucinations when used for planning and control.","  - [limitation / negative] GPT-4's large model size causes long inference times, taking several minutes per game of Leduc Hold'em.
  - [limitation / negative] The vanilla planning method struggles with uncertainty in imperfect information games, especially against opponents who exploit others' strategies.",same_signal,"Both sets highlight the same core weaknesses of the paper’s approach: poor handling of uncertainty/opponent modeling in imperfect-information games and slow inference due to large LLMs, with Atlas mainly restating and slightly broadening the paper’s own limitations."
arxiv:2410.20878,2410.20878,10,1,"  - (from 2405.13576, rel=compares): Existing modular frameworks like AutoRAG lack the implementation of existing RAG methods and their evaluations, making it difficult to reproduce or compare specific algorithmic improvements.
  - (from 2502.02464, rel=compares): AutoRAG lacks support for diverse datasets and advanced retriever configurations, limiting its utility for broad benchmarking.
  - (from 2503.20757, rel=compares): AutoRAG automates retrieval pipeline configuration and model selection, which may not dynamically adapt to the specific reasoning needs of each query as effectively as MCTS-RAG's search-based approach.","  - [comparison / negative] At RRF-k=3, retrieval precision was lower than baseline BM25.",unrelated,"Observation A concerns AutoRAG's framework-level limitations in method coverage, dataset/retriever support, and query-adaptive search behavior, whereas Observation B is a specific empirical result about lower retrieval precision than BM25 at one setting, with no direct overlap."
arxiv:2306.15895,2306.15895,5,2,"  - (from unknown, rel=improves): Prior methods for generating synthetic resume attributes rely on sampling from existing datasets, which limits diversity and realism.
  - (from 2502.17607, rel=compares): LLM-generated synthetic text lacks diversity, faithfulness to real data, and does not preserve privacy or provide performance guarantees.
  - (from 2410.12757, rel=uses_component): LLMs struggle with diversity when prompted to generate text examples.","  - [limitation / mixed] For GPT-4, generated data results are not directly comparable with other models because only 10% of the full dataset was generated.
  - [comparison / negative] For SimPrompt, average performance using ChatGPT is worse than using text-curie-001, but this does not hold for AttrPrompt.",unrelated,"Observation A concerns general weaknesses of LLM-based synthetic data generation such as low diversity, realism, faithfulness, privacy, and guarantees, whereas Observation B only reports study-specific comparability and model-performance quirks in this paper without addressing those broader generation-quality issues."
arxiv:2406.04744v2,2406.04744,37,1,"  - (from 2412.16311, rel=compares): Existing RAG methods (text-only, graph-only, or concatenated) struggle to handle both types of questions effectively or are distracted by irrelevant content in long references.
  - (from unknown, rel=compares): No bottleneck in CRAG is discussed; it is cited as the source for the evaluation protocol.
  - (from 2409.15337, rel=compares): Existing QA benchmarks fail to adequately evaluate the diverse and dynamic challenges faced by Retrieval-Augmented Generation (RAG) systems, particularly regarding hallucination and temporal accuracy.","  - [limitation / negative] The best LLM-only solution, GPT-4 Turbo, achieved only 34% accuracy and 20% truthfulness on CRAG, indicating substantial room for improvement.",complementary,"Observation A discusses broader weaknesses in existing RAG methods and benchmark coverage, while Observation B reports poor baseline LLM-only performance on CRAG, so they highlight different but compatible shortcomings."
arxiv:2504.15253v2,2504.15253,3,1,"  - (from 2507.10535, rel=compares): Paper A identifies that existing benchmarks like JETTS focus exclusively on code generation, failing to cover the full spectrum of coding activities like repair and test generation.
  - (from 2510.17793, rel=compares): Inference-time scaling requires evaluators that can effectively rerank responses to achieve near-oracle performance, a task where many existing judges fall short.
  - (from 2601.22249, rel=compares): LLM-as-a-Judge approaches incur inference costs that scale quadratically with the number of candidate solutions due to pairwise comparisons.",  - [limitation / negative] Majority-vote aggregation is computed for GSM8k and MATH but is not feasible for CHAMP because GPT-4o grades natural-language responses without extracting a final answer.,unrelated,"Observation A discusses benchmark coverage and evaluator/reranking cost-quality issues for coding and judge-based inference-time scaling, while Observation B is a specific feasibility limitation of majority-vote aggregation on CHAMP due to grading natural-language answers, with no substantive overlap."
arxiv:2302.04023,2302.04023,26,1,"  - (from 2211.13873, rel=compares): Large Language Models like ChatGPT struggle to comprehend abstract sense structures and extract relevant language features for implicit discourse relations, leading to poor performance compared to specialized models.
  - (from 2302.13793, rel=compares): {}
  - (from 2302.08081, rel=compares): Prior evaluations of ChatGPT focused on general summarization tasks using datasets not explicitly designed for text summarization, leaving aspect- or query-based summarization underexplored.","  - [limitation / negative] There is still room for improvement in extremely low-resource languages and reasoning skills, especially on complex reasoning tasks.",complementary,"The third-party observations focus on weaknesses in abstract discourse understanding and gaps in evaluation coverage, while the paper’s own limitation highlights low-resource language performance and complex reasoning, so they identify different but compatible shortcomings."
arxiv:2310.08753,2310.08753,9,1,"  - (from unknown, rel=improves): CompA-CLAP is trained on a smaller dataset (660k pairs) compared to ReCLAP's 2.3M pairs, and lacks the caption augmentation strategy.
  - (from 2505.05335, rel=compares): No specific bottleneck in CompA is identified; rather, CompA is used as a baseline to demonstrate FLAM's competitive performance in retrieval tasks despite being trained on a different, potentially noisier dataset.
  - (from 2503.03983, rel=improves): CLAP-like models struggle to capture nuances in compositional reasoning, such as temporal sequencing or attribute binding, due to limitations in their training objectives.",  - [setting_effect / negative] Skipping compositionally-aware hard negative training before modular contrastive training causes a 4%-13% performance degradation.,complementary,"Observation A raises external concerns about limited training scale/augmentation and broader CLAP-style compositional reasoning weaknesses, while Observation B specifically identifies the importance of compositionally-aware hard negative training for performance, so they are different but compatible limitations."
arxiv:2302.12813,2302.12813,38,1,"  - (from 2303.14100, rel=compares): LLM-AUGMENTER improves outputs by giving access to external knowledge and revising prompts in natural language, which may lack the formal rigor required for executable structured languages.
  - (from 2305.14002, rel=compares): Using an LLM (like ChatGPT) to generate feedback based on retrieved evidence is less efficient than using the documents directly.
  - (from 2305.09067, rel=compares): LLMs may suffer from hallucinations or lack of factual grounding in specialized tasks, which Peng et al. (2023) address via external knowledge and feedback.",  - [limitation / negative] There remains a noticeable performance gap relative to a state-of-the-art fine-tuned model using top-50 consolidated evidence.,complementary,"Observation A highlights concerns about the method’s reliance on LLM-mediated feedback and external knowledge—such as inefficiency, lack of formal rigor, and hallucination risk—while Observation B instead notes a residual performance gap to a stronger fine-tuned evidence-based model, so they describe different but compatible weaknesses."
arxiv:2401.15884v3,2401.15884,72,1,"  - (from 2404.10981, rel=compares): The paper identifies that initial retrieval may not always yield the most relevant documents, necessitating a refinement step to ensure high-quality inputs for generation.
  - (from 2405.16178, rel=replaces): CRAG requires maintaining an extra external model (T5-XXL) for classification, which increases serving infrastructure complexity and adds additional model runs during inference.
  - (from 2406.13249, rel=compares): CRAG's simplistic approach of filtering out documents can omit crucial connections needed for understanding complex queries, leading to performance declines in multi-hop datasets.",  - [limitation / mixed] The efficacy of CRAG is easily affected by the accuracy of the retrieval evaluator when only Correct and Incorrect actions are used.,complementary,"Both sets touch retrieval-quality sensitivity—A notes imperfect initial retrieval and over-filtering can hurt results, while B says CRAG depends heavily on evaluator accuracy—and A also adds an infrastructure-complexity weakness not mentioned in B, so they are different but compatible."
arxiv:2401.13919,2401.13919,109,1,"  - (from unknown, rel=compares): No specific bottleneck or limitation of WebVoyager is discussed in the text; it is merely listed as an example of academic research.
  - (from 2505.16421, rel=compares): Existing methods may lack generalization capabilities to out-of-distribution (OOD) web domains not seen during training.
  - (from 2505.00684, rel=compares): No specific bottleneck in WebVoyager is identified; it is used as a benchmark to demonstrate the effectiveness of RegionFocus in web interaction scenarios.","  - [limitation / mixed] WebVoyager is slightly worse than the text-only setting on Allrecipes and similar on Github, ESPN, Cambridge Dictionary, and Wolfram Alpha.",complementary,"Observation A raises a broad possible weakness about out-of-distribution generalization (while other items note no specific bottleneck), whereas Observation B reports site-specific underperformance versus text-only on certain domains, so they concern different but compatible weaknesses."
arxiv:2403.14403v2,2403.14403,20,1,"  - (from 2505.21250, rel=uses_component): No specific bottleneck is attributed to Adaptive-RAG; rather, Paper A adopts a specific hyperparameter constraint from it.
  - (from 2407.18553, rel=adapts): Adaptive-RAG still relies on interleaved Chain-of-Thought (CoT) reasoning and retrieval steps, which introduces significant latency due to multiple LLM calls.
  - (from 2501.12835, rel=compares): The paper identifies that AdaptiveRAG, while effective for complex reasoning, is part of a class of complex pipelines that often neglect efficiency evaluations and lack comparisons with uncertainty estimation techniques.",  - [comparison / negative] Adaptive-RAG underperforms the Multi-step Approach on HotpotQA with GPT-3.5 in accuracy.,complementary,"Observation A highlights efficiency and evaluation-related weaknesses of Adaptive-RAG, while Observation B reports a separate task-specific accuracy underperformance against a multi-step baseline, so they describe different but compatible limitations."
arxiv:2311.17227v2,2311.17227,19,1,"  - (from 2402.01680, rel=compares): The paper notes that simulating complex real-world interactions, such as war and policy-making, requires agents to handle competitive dynamics and decentralized communication, which are challenging for standard cooperative multi-agent systems.
  - (from 2403.13433, rel=compares): Social simulations focusing on large-scale phenomena like war evolution or competitive behaviors often lack the fine-grained linguistic interaction and individual persona dynamics necessary to study emergent social norms and collective intelligence in group chats.
  - (from 2404.01230, rel=compares): No specific bottleneck is identified; the paper cites WarAgent as an example of recreating and analyzing historical conflicts.","  - [limitation / negative] In GPT-4 war-declaration simulations, mistakes mostly come from whether Britain and France choose to declare war against Austria-Hungary or the German Empire.",complementary,"The third-party observations discuss broad modeling challenges in war/social simulations such as competition, decentralized communication, and missing fine-grained persona-linguistic dynamics, while the paper’s own limitation points to a specific empirical failure mode in alliance/war-declaration decisions, so they are different but compatible weaknesses."
arxiv:2503.22020v1,2503.22020,70,1,"  - (from 2412.20451, rel=compares): Existing approaches like CoT-VLA generate sub-goals for autoregressive VLAs, but CoA-VLA argues that its affordance taxonomy and dynamic selection offer a more computationally efficient and robust alternative.
  - (from 2505.13888, rel=compares): CoT-VLA relies on complex intermediate computations or external models for reasoning, which can be inefficient and less parameter-efficient than intrinsic spatial reasoning.
  - (from 2504.20520, rel=compares): Vision-Language-Action (VLA) models, including those with chain-of-thought reasoning, require large-scale, high-quality real-world data which is scarce and expensive to collect, limiting their practical deployment.",  - [limitation / negative] Current VLAs lack intermediate reasoning steps crucial for complex manipulation tasks.,complementary,"Observation A emphasizes inefficiency and data-scarcity issues in existing VLA/CoT-VLA approaches, while Observation B highlights the separate weakness that current VLAs lack intermediate reasoning for complex manipulation, making the two sets different but compatible."
arxiv:2403.14624v2,2403.14624,246,1,"  - (from unknown, rel=compares): Existing MLLMs struggle to effectively see and comprehend diagrams in visual math problems, leading to poor performance on benchmarks like MathVerse.
  - (from unknown, rel=compares): No specific bottleneck in MathVerse is identified; it is used as a benchmark specifically designed to evaluate deep visual understanding in math problems, highlighting TVC's strength in this area.
  - (from 2502.13383, rel=compares): The paper uses the MathVerse benchmark to evaluate and demonstrate the robustness of its MM-Verifier and MM-Reasoner in handling visual math problems, comparing against baselines.",  - [setting_effect / negative] Most MLLMs perform worse on Vision-dominant problems than on Text-lite problems; GPT-4V drops by 5.8% and InternLM-XComposer2 by 3.9%.,same_signal,"Both observations point to the same underlying weakness: current multimodal LLMs have difficulty with visually intensive/diagram-based math problems, which is reflected in poorer performance on benchmarks like MathVerse and especially on vision-dominant items."
arxiv:2508.20453v1,2508.20453,20,2,"  - (from 2509.17158, rel=compares): No specific bottleneck is attributed to MCP-Bench; it is cited as an example of an MCP-based benchmark that can be reproduced within ARE, serving as a reference for platform compatibility.
  - (from 2510.02271, rel=compares): MCP-Bench exposes agents to large-scale tool environments but stops short of evaluating information seeking and long-horizon reasoning across tools, focusing instead on invocation correctness and execution robustness.
  - (from 2510.00229, rel=uses_component): There is a need for standardized benchmarks to evaluate LLM agents in realistic tool-use scenarios using the Model Context Protocol (MCP).","  - [setting_effect / negative] llama-3-1-8b-instruct performs worse with multiple servers than in the single-server case.
  - [setting_effect / negative] nova-micro-v1 performs worse with multiple servers than in the single-server case.",unrelated,"Observation A discusses benchmark scope and the need for standardized MCP tool-use evaluation, while Observation B reports model performance degradation in multi-server settings, with no substantive overlap in the specific weakness identified."
